#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 200  22
# Band-Index:    1
   0.00000    -10.503165  0.837  0.018  0.003  0.018  0.001  0.002  0.000  0.002  0.001  0.882
   0.01948    -10.538567  0.839  0.018  0.004  0.016  0.002  0.002  0.000  0.002  0.002  0.883
   0.03896    -10.589737  0.839  0.018  0.004  0.016  0.002  0.002  0.000  0.002  0.002  0.881
   0.05843    -10.643700  0.838  0.018  0.004  0.015  0.002  0.002  0.000  0.002  0.002  0.880
   0.07791    -10.699405  0.837  0.018  0.004  0.014  0.002  0.002  0.000  0.002  0.002  0.879
   0.09739    -10.756508  0.835  0.018  0.006  0.013  0.002  0.002  0.000  0.002  0.002  0.877
   0.11687    -10.814787  0.834  0.018  0.006  0.013  0.001  0.002  0.000  0.002  0.002  0.877
   0.13634    -10.874052  0.833  0.018  0.006  0.012  0.001  0.002  0.000  0.002  0.002  0.875
   0.15582    -10.934129  0.831  0.018  0.006  0.012  0.000  0.002  0.000  0.002  0.002  0.873
   0.17530    -10.994849  0.830  0.018  0.008  0.011  0.000  0.002  0.000  0.002  0.002  0.872
   0.19478    -11.056042  0.828  0.018  0.008  0.011  0.000  0.002  0.000  0.002  0.002  0.870
   0.21425    -11.117547  0.826  0.018  0.008  0.010  0.000  0.002  0.000  0.002  0.002  0.868
   0.23373    -11.179203  0.826  0.018  0.009  0.009  0.000  0.002  0.000  0.000  0.001  0.866
   0.25321    -11.240850  0.824  0.018  0.010  0.009  0.000  0.002  0.000  0.000  0.001  0.864
   0.27269    -11.302335  0.822  0.018  0.010  0.009  0.000  0.002  0.000  0.000  0.000  0.863
   0.29216    -11.363513  0.821  0.017  0.010  0.008  0.000  0.002  0.000  0.000  0.000  0.862
   0.31164    -11.424243  0.820  0.017  0.012  0.008  0.000  0.002  0.000  0.000  0.000  0.860
   0.33112    -11.484386  0.819  0.017  0.012  0.007  0.000  0.002  0.000  0.000  0.000  0.858
   0.35060    -11.543814  0.818  0.016  0.012  0.007  0.000  0.002  0.000  0.000  0.000  0.856
   0.37007    -11.602400  0.817  0.015  0.013  0.007  0.000  0.002  0.000  0.000  0.000  0.855
   0.38955    -11.660027  0.815  0.015  0.014  0.006  0.000  0.002  0.000  0.000  0.000  0.853
   0.40903    -11.716584  0.815  0.014  0.014  0.006  0.000  0.002  0.000  0.000  0.000  0.852
   0.42851    -11.771965  0.814  0.014  0.014  0.006  0.000  0.002  0.000  0.000  0.000  0.850
   0.44798    -11.826073  0.813  0.013  0.016  0.005  0.000  0.002  0.000  0.000  0.000  0.849
   0.46746    -11.878812  0.813  0.012  0.016  0.005  0.000  0.002  0.000  0.000  0.000  0.848
   0.48694    -11.930092  0.812  0.012  0.016  0.004  0.000  0.000  0.000  0.000  0.000  0.846
   0.50642    -11.979829  0.811  0.011  0.016  0.004  0.000  0.000  0.000  0.000  0.000  0.845
   0.52589    -12.027944  0.811  0.010  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.844
   0.54537    -12.074366  0.811  0.009  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.843
   0.56485    -12.119027  0.810  0.009  0.018  0.003  0.000  0.000  0.000  0.000  0.000  0.841
   0.58433    -12.161866  0.809  0.008  0.018  0.003  0.000  0.000  0.000  0.000  0.000  0.840
   0.60380    -12.202831  0.809  0.007  0.018  0.003  0.000  0.000  0.000  0.000  0.000  0.839
   0.62328    -12.241863  0.809  0.007  0.020  0.002  0.000  0.000  0.000  0.000  0.000  0.838
   0.64276    -12.278908  0.809  0.006  0.020  0.002  0.000  0.000  0.000  0.000  0.000  0.838
   0.66224    -12.313920  0.809  0.005  0.020  0.002  0.000  0.000  0.000  0.000  0.000  0.837
   0.68171    -12.346857  0.809  0.005  0.020  0.002  0.000  0.000  0.000  0.000  0.000  0.836
   0.70119    -12.377680  0.808  0.004  0.020  0.002  0.000  0.000  0.000  0.000  0.000  0.835
   0.72067    -12.406357  0.808  0.004  0.020  0.002  0.000  0.000  0.000  0.000  0.000  0.834
   0.74015    -12.432852  0.808  0.003  0.022  0.001  0.000  0.000  0.000  0.000  0.000  0.834
   0.75962    -12.457137  0.808  0.002  0.022  0.001  0.000  0.000  0.000  0.000  0.000  0.834
   0.77910    -12.479185  0.808  0.002  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.833
   0.79858    -12.498975  0.808  0.002  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.81806    -12.516483  0.808  0.002  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.83753    -12.531693  0.808  0.001  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.85701    -12.544592  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.832
   0.87649    -12.555162  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.831
   0.89597    -12.563394  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.831
   0.91544    -12.569279  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.830
   0.93492    -12.572811  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.830
   0.95440    -12.573988  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.830
   0.95440    -12.573988  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.830
   0.97126    -12.573106  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.830
   0.98813    -12.570456  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.830
   1.00499    -12.566042  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.831
   1.02185    -12.559866  0.808  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.000  0.831
