#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -10.503 -0.048  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.050
   0.019   -10.539  0.478  0.009  0.002  0.009  0.000  0.002  0.000  0.002  0.000  0.501
   0.039   -10.590  0.498  0.010  0.002  0.009  0.000  0.002  0.000  0.002  0.000  0.522
   0.058   -10.644  0.501  0.010  0.002  0.008  0.000  0.002  0.000  0.000  0.000  0.526
   0.078   -10.699  0.503  0.011  0.003  0.008  0.000  0.002  0.000  0.000  0.000  0.528
   0.097   -10.757  0.503  0.011  0.003  0.008  0.000  0.002  0.000  0.000  0.000  0.528
   0.117   -10.815  0.503  0.011  0.003  0.008  0.000  0.002  0.000  0.000  0.000  0.529
   0.136   -10.874  0.505  0.011  0.003  0.008  0.000  0.002  0.000  0.000  0.000  0.529
   0.156   -10.934  0.505  0.011  0.004  0.008  0.000  0.002  0.000  0.000  0.000  0.529
   0.175   -10.995  0.504  0.011  0.005  0.007  0.000  0.002  0.000  0.000  0.000  0.529
   0.195   -11.056  0.504  0.011  0.005  0.006  0.000  0.002  0.000  0.000  0.000  0.529
   0.214   -11.118  0.505  0.011  0.005  0.006  0.000  0.002  0.000  0.000  0.000  0.530
   0.234   -11.179  0.505  0.011  0.005  0.006  0.000  0.002  0.000  0.000  0.000  0.529
   0.253   -11.241  0.504  0.011  0.005  0.006  0.000  0.002  0.000  0.000  0.000  0.529
   0.273   -11.302  0.506  0.011  0.006  0.006  0.000  0.001  0.000  0.000  0.000  0.530
   0.292   -11.364  0.506  0.011  0.007  0.006  0.000  0.000  0.000  0.000  0.000  0.530
   0.312   -11.424  0.504  0.010  0.007  0.005  0.000  0.000  0.000  0.000  0.000  0.529
   0.331   -11.484  0.505  0.009  0.007  0.004  0.000  0.000  0.000  0.000  0.000  0.529
   0.351   -11.544  0.505  0.009  0.007  0.004  0.000  0.000  0.000  0.000  0.000  0.528
   0.370   -11.602  0.505  0.009  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.528
   0.390   -11.660  0.505  0.009  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.529
   0.409   -11.717  0.505  0.009  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.528
   0.429   -11.772  0.505  0.009  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.527
   0.448   -11.826  0.506  0.007  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.527
   0.467   -11.879  0.506  0.007  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.528
   0.487   -11.930  0.506  0.007  0.010  0.003  0.000  0.000  0.000  0.000  0.000  0.527
