#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -10.503 -0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.003
   0.019   -10.539  0.619  0.012  0.002  0.012  0.000  0.002  0.000  0.002  0.000  0.650
   0.039   -10.590  0.657  0.014  0.003  0.012  0.000  0.002  0.000  0.002  0.000  0.689
   0.058   -10.644  0.663  0.014  0.003  0.011  0.000  0.002  0.000  0.002  0.000  0.696
   0.078   -10.699  0.665  0.014  0.004  0.011  0.000  0.002  0.000  0.002  0.000  0.697
   0.097   -10.757  0.663  0.014  0.004  0.010  0.000  0.002  0.000  0.002  0.000  0.696
   0.117   -10.815  0.662  0.014  0.004  0.010  0.000  0.002  0.000  0.002  0.000  0.695
   0.136   -10.874  0.660  0.014  0.005  0.009  0.000  0.002  0.000  0.002  0.000  0.693
   0.156   -10.934  0.659  0.014  0.005  0.009  0.000  0.002  0.000  0.000  0.000  0.691
   0.175   -10.995  0.657  0.014  0.006  0.008  0.000  0.002  0.000  0.000  0.000  0.689
   0.195   -11.056  0.655  0.014  0.006  0.008  0.000  0.002  0.000  0.000  0.000  0.686
   0.214   -11.118  0.651  0.014  0.006  0.007  0.000  0.002  0.000  0.000  0.000  0.684
   0.234   -11.179  0.649  0.014  0.007  0.007  0.000  0.002  0.000  0.000  0.000  0.682
   0.253   -11.241  0.647  0.014  0.007  0.007  0.000  0.002  0.000  0.000  0.000  0.680
   0.273   -11.302  0.645  0.014  0.008  0.007  0.000  0.002  0.000  0.000  0.000  0.676
   0.292   -11.364  0.643  0.014  0.008  0.006  0.000  0.002  0.000  0.000  0.000  0.674
   0.312   -11.424  0.641  0.014  0.009  0.006  0.000  0.002  0.000  0.000  0.000  0.672
   0.331   -11.484  0.639  0.013  0.009  0.005  0.000  0.002  0.000  0.000  0.000  0.670
   0.351   -11.544  0.637  0.012  0.010  0.005  0.000  0.002  0.000  0.000  0.000  0.667
   0.370   -11.602  0.636  0.012  0.010  0.005  0.000  0.002  0.000  0.000  0.000  0.665
   0.390   -11.660  0.634  0.012  0.010  0.005  0.000  0.002  0.000  0.000  0.000  0.663
   0.409   -11.717  0.632  0.012  0.011  0.004  0.000  0.000  0.000  0.000  0.000  0.661
   0.429   -11.772  0.630  0.010  0.011  0.004  0.000  0.000  0.000  0.000  0.000  0.659
   0.448   -11.826  0.629  0.010  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.657
   0.467   -11.879  0.627  0.010  0.012  0.003  0.000  0.000  0.000  0.000  0.000  0.654
   0.487   -11.930  0.626  0.009  0.012  0.003  0.000  0.000  0.000  0.000  0.000  0.653
   0.506   -11.980  0.625  0.008  0.013  0.003  0.000  0.000  0.000  0.000  0.000  0.651
   0.526   -12.028  0.623  0.008  0.013  0.003  0.000  0.000  0.000  0.000  0.000  0.649
   0.545   -12.074  0.623  0.008  0.014  0.003  0.000  0.000  0.000  0.000  0.000  0.647
   0.565   -12.119  0.621  0.006  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.646
   0.584   -12.162  0.621  0.006  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.644
   0.604   -12.203  0.619  0.006  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.642
   0.623   -12.242  0.619  0.006  0.014  0.002  0.000  0.000  0.000  0.000  0.000  0.641
   0.643   -12.279  0.618  0.004  0.015  0.002  0.000  0.000  0.000  0.000  0.000  0.640
   0.662   -12.314  0.617  0.004  0.015  0.001  0.000  0.000  0.000  0.000  0.000  0.638
   0.682   -12.347  0.616  0.004  0.016  0.001  0.000  0.000  0.000  0.000  0.000  0.637
   0.701   -12.378  0.616  0.004  0.016  0.001  0.000  0.000  0.000  0.000  0.000  0.636
   0.721   -12.406  0.616  0.002  0.016  0.001  0.000  0.000  0.000  0.000  0.000  0.635
   0.740   -12.433  0.615  0.002  0.016  0.001  0.000  0.000  0.000  0.000  0.000  0.635
   0.760   -12.457  0.614  0.002  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   0.779   -12.479  0.614  0.002  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   0.799   -12.499  0.613  0.002  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.632
   0.818   -12.516  0.613  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.631
   0.838   -12.532  0.613  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.631
   0.857   -12.545  0.613  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.630
   0.876   -12.555  0.612  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   0.896   -12.563  0.612  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   0.915   -12.569  0.612  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   0.935   -12.573  0.612  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.000  0.629
   0.954   -12.574  0.612  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.628
   0.954   -12.574  0.612  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.000  0.628
   0.971   -12.573  0.613  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.630
   0.988   -12.570  0.613  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.000  0.630
   1.005   -12.566  0.614  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.000  0.631
   1.022   -12.560  0.615  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.000  0.631
   1.039   -12.552  0.615  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   1.056   -12.542  0.615  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.000  0.633
   1.072   -12.531  0.616  0.000  0.017  0.001  0.000  0.000  0.000  0.000  0.000  0.635
   1.089   -12.518  0.618  0.000  0.016  0.001  0.000  0.000  0.000  0.000  0.000  0.635
   1.106   -12.503  0.618  0.000  0.016  0.001  0.000  0.000  0.000  0.000  0.000  0.636
