#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -10.503 -0.208 -0.004 -0.001 -0.004 -0.001  0.000  0.000  0.000 -0.001 -0.219
   0.019   -10.539  0.011  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.012
   0.039   -10.590  0.020  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.021
   0.058   -10.644  0.025  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.027
   0.078   -10.699  0.030  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.032
   0.097   -10.757  0.034  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.036
   0.117   -10.815  0.039  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.041
   0.136   -10.874  0.043  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.045
   0.156   -10.934  0.048  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.050
   0.175   -10.995  0.052  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.055
   0.195   -11.056  0.056  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.059
   0.214   -11.118  0.059  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.062
   0.234   -11.179  0.064  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.066
   0.253   -11.241  0.068  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.072
   0.273   -11.302  0.072  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.075
   0.292   -11.364  0.075  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.079
   0.312   -11.424  0.077  0.001  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.081
   0.331   -11.484  0.082  0.001  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.085
   0.351   -11.544  0.085  0.002  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.089
   0.370   -11.602  0.088  0.002  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.091
   0.390   -11.660  0.091  0.002  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.095
   0.409   -11.717  0.094  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.098
   0.429   -11.772  0.096  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.101
   0.448   -11.826  0.099  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.103
   0.467   -11.879  0.101  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.106
   0.487   -11.930  0.104  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.108
   0.506   -11.980  0.106  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.111
   0.526   -12.028  0.108  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.113
   0.545   -12.074  0.111  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.115
   0.565   -12.119  0.113  0.002  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.117
   0.584   -12.162  0.115  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.119
   0.604   -12.203  0.115  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.120
   0.623   -12.242  0.117  0.001  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.122
   0.643   -12.279  0.120  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.124
   0.662   -12.314  0.121  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.125
   0.682   -12.347  0.122  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.126
   0.701   -12.378  0.123  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.127
   0.721   -12.406  0.124  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.128
   0.740   -12.433  0.126  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.130
   0.760   -12.457  0.128  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.132
   0.779   -12.479  0.128  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.132
   0.799   -12.499  0.128  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.132
   0.818   -12.516  0.130  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.134
   0.838   -12.532  0.130  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.134
   0.857   -12.545  0.132  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.134
   0.876   -12.555  0.132  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.136
   0.896   -12.563  0.130  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.134
   0.915   -12.569  0.132  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.134
   0.935   -12.573  0.132  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.136
   0.954   -12.574  0.132  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.136
   0.954   -12.574  0.134  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.138
   0.971   -12.573  0.128  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.132
   0.988   -12.570  0.124  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.128
