#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 200  22
# Band-Index:    1
   0.00000     -8.941306  0.558  0.017  0.006  0.017  0.001  0.001  0.000  0.001  0.001  0.602
   0.02072     -8.992313  0.558  0.018  0.007  0.016  0.000  0.001  0.000  0.001  0.000  0.600
   0.04143     -9.064060  0.556  0.017  0.007  0.015  0.000  0.001  0.000  0.000  0.000  0.598
   0.06215     -9.139108  0.554  0.018  0.007  0.014  0.000  0.001  0.000  0.000  0.000  0.596
   0.08286     -9.216573  0.552  0.018  0.008  0.013  0.000  0.001  0.000  0.000  0.000  0.594
   0.10358     -9.296030  0.550  0.018  0.008  0.013  0.000  0.001  0.000  0.000  0.000  0.591
   0.12430     -9.377137  0.548  0.018  0.008  0.011  0.000  0.001  0.000  0.000  0.000  0.589
   0.14501     -9.459554  0.546  0.018  0.009  0.011  0.000  0.001  0.000  0.000  0.000  0.586
   0.16573     -9.542965  0.543  0.018  0.009  0.010  0.000  0.000  0.000  0.000  0.000  0.583
   0.18644     -9.627070  0.540  0.018  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.580
   0.20716     -9.711583  0.537  0.018  0.010  0.009  0.000  0.000  0.000  0.000  0.000  0.577
   0.22788     -9.796237  0.535  0.018  0.010  0.009  0.000  0.000  0.000  0.000  0.000  0.574
   0.24859     -9.880770  0.534  0.018  0.011  0.008  0.000  0.000  0.000  0.000  0.000  0.572
   0.26931     -9.964944  0.531  0.017  0.012  0.008  0.000  0.000  0.000  0.000  0.000  0.569
   0.29003    -10.048539  0.529  0.016  0.012  0.007  0.000  0.000  0.000  0.000  0.000  0.567
   0.31074    -10.131347  0.527  0.016  0.012  0.007  0.000  0.000  0.000  0.000  0.000  0.564
   0.33146    -10.213174  0.525  0.016  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.561
   0.35217    -10.293842  0.524  0.015  0.013  0.006  0.000  0.000  0.000  0.000  0.000  0.559
   0.37289    -10.373186  0.522  0.014  0.013  0.006  0.000  0.000  0.000  0.000  0.000  0.557
   0.39361    -10.451059  0.520  0.014  0.014  0.006  0.000  0.000  0.000  0.000  0.000  0.554
   0.41432    -10.527319  0.518  0.013  0.014  0.005  0.000  0.000  0.000  0.000  0.000  0.552
   0.43504    -10.601840  0.518  0.012  0.014  0.005  0.000  0.000  0.000  0.000  0.000  0.550
   0.45575    -10.674505  0.516  0.012  0.014  0.004  0.000  0.000  0.000  0.000  0.000  0.548
   0.47647    -10.745215  0.516  0.011  0.014  0.004  0.000  0.000  0.000  0.000  0.000  0.546
   0.49719    -10.813867  0.514  0.010  0.015  0.004  0.000  0.000  0.000  0.000  0.000  0.544
   0.51790    -10.880369  0.514  0.010  0.016  0.004  0.000  0.000  0.000  0.000  0.000  0.544
   0.53862    -10.944645  0.513  0.009  0.016  0.004  0.000  0.000  0.000  0.000  0.000  0.542
   0.55933    -11.006616  0.512  0.008  0.016  0.003  0.000  0.000  0.000  0.000  0.000  0.540
   0.58005    -11.066217  0.511  0.008  0.016  0.002  0.000  0.000  0.000  0.000  0.000  0.538
   0.60077    -11.123382  0.511  0.007  0.016  0.002  0.000  0.000  0.000  0.000  0.000  0.538
   0.62148    -11.178056  0.510  0.006  0.016  0.002  0.000  0.000  0.000  0.000  0.000  0.536
   0.64220    -11.230185  0.510  0.006  0.016  0.002  0.000  0.000  0.000  0.000  0.000  0.535
   0.66291    -11.279723  0.509  0.006  0.016  0.002  0.000  0.000  0.000  0.000  0.000  0.534
   0.68363    -11.326635  0.509  0.005  0.017  0.002  0.000  0.000  0.000  0.000  0.000  0.533
   0.70435    -11.370878  0.509  0.004  0.017  0.002  0.000  0.000  0.000  0.000  0.000  0.532
   0.72506    -11.412414  0.508  0.004  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.531
   0.74578    -11.451210  0.508  0.004  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.530
   0.76650    -11.487237  0.508  0.003  0.018  0.001  0.000  0.000  0.000  0.000  0.000  0.530
   0.78721    -11.520467  0.508  0.002  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.528
   0.80793    -11.550880  0.508  0.002  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.528
   0.82864    -11.578454  0.508  0.002  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.528
   0.84936    -11.603171  0.507  0.002  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.528
   0.87008    -11.625020  0.507  0.001  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   0.89079    -11.643984  0.507  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   0.91151    -11.660049  0.507  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   0.93222    -11.673206  0.507  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   0.95294    -11.683447  0.507  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   0.97366    -11.690765  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   0.99437    -11.695156  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.01509    -11.696618  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.01509    -11.696618  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.03303    -11.695523  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.05098    -11.692233  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.06892    -11.686749  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.08687    -11.679073  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.10481    -11.669210  0.506  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.12275    -11.657163  0.508  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.14070    -11.642939  0.508  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.000  0.526
   1.15864    -11.626544  0.508  0.000  0.018  0.001  0.000  0.000  0.000  0.000  0.000  0.526
   1.17659    -11.607987  0.508  0.000  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.528
   1.19453    -11.587280  0.508  0.000  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.528
   1.21248    -11.564430  0.508  0.000  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.528
   1.23042    -11.539450  0.508  0.000  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.528
   1.24836    -11.512351  0.508  0.000  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.528
   1.26631    -11.483150  0.508  0.001  0.018  0.002  0.000  0.000  0.000  0.000  0.000  0.530
   1.28425    -11.451864  0.508  0.001  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.530
   1.30220    -11.418511  0.508  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.530
   1.32014    -11.383115  0.508  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.532
   1.33809    -11.345698  0.508  0.002  0.018  0.004  0.000  0.000  0.000  0.000  0.000  0.532
   1.35603    -11.306292  0.510  0.002  0.016  0.005  0.000  0.000  0.000  0.000  0.000  0.534
   1.37398    -11.264925  0.510  0.002  0.016  0.006  0.000  0.000  0.000  0.000  0.000  0.534
   1.39192    -11.221632  0.510  0.002  0.016  0.006  0.000  0.000  0.000  0.000  0.000  0.536
   1.40986    -11.176445  0.510  0.002  0.016  0.006  0.000  0.000  0.000  0.000  0.000  0.536
   1.42781    -11.129407  0.510  0.002  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.538
   1.44575    -11.080565  0.512  0.002  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.538
   1.46370    -11.029972  0.512  0.003  0.016  0.008  0.000  0.000  0.000  0.000  0.000  0.540
   1.48164    -10.977691  0.512  0.003  0.016  0.009  0.000  0.000  0.000  0.000  0.000  0.542
   1.49959    -10.923788  0.514  0.003  0.016  0.010  0.000  0.000  0.000  0.000  0.000  0.542
   1.51753    -10.868345  0.514  0.004  0.016  0.010  0.000  0.000  0.000  0.000  0.000  0.544
   1.53547    -10.811448  0.516  0.004  0.016  0.010  0.000  0.000  0.000  0.000  0.000  0.546
   1.55342    -10.753199  0.516  0.004  0.014  0.011  0.000  0.000  0.000  0.000  0.000  0.548
   1.57136    -10.693714  0.518  0.004  0.014  0.012  0.000  0.000  0.000  0.000  0.000  0.548
   1.58931    -10.633137  0.518  0.004  0.014  0.012  0.000  0.000  0.000  0.000  0.000  0.550
   1.60725    -10.571621  0.520  0.004  0.014  0.013  0.000  0.000  0.000  0.000  0.000  0.552
   1.62520    -10.509352  0.520  0.004  0.014  0.014  0.000  0.000  0.000  0.000  0.000  0.554
   1.64314    -10.446553  0.522  0.004  0.014  0.014  0.000  0.000  0.000  0.000  0.000  0.556
   1.66108    -10.383486  0.524  0.005  0.014  0.014  0.000  0.000  0.000  0.000  0.000  0.558
   1.67903    -10.320469  0.526  0.005  0.014  0.014  0.000  0.000  0.000  0.000  0.000  0.560
   1.69697    -10.257873  0.528  0.005  0.012  0.015  0.000  0.000  0.000  0.000  0.000  0.562
   1.71492    -10.196149  0.530  0.005  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.564
   1.73286    -10.135843  0.532  0.006  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.568
   1.75081    -10.077603  0.534  0.006  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.570
   1.76875    -10.022213  0.536  0.006  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.572
   1.78669     -9.970588  0.539  0.006  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.574
   1.80464     -9.923786  0.542  0.006  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.576
   1.82258     -9.882993  0.544  0.006  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.578
   1.84053     -9.849463  0.546  0.006  0.012  0.016  0.000  0.000  0.000  0.000  0.000  0.580
   1.85847     -9.824416  0.548  0.006  0.012  0.016  0.002  0.000  0.000  0.000  0.000  0.582
   1.87642     -9.808908  0.548  0.006  0.012  0.016  0.002  0.000  0.000  0.000  0.000  0.582
   1.89436     -9.803653  0.548  0.006  0.012  0.016  0.002  0.000  0.000  0.000  0.000  0.582
   1.89436     -9.803653  0.548  0.006  0.012  0.016  0.002  0.000  0.000  0.000  0.000  0.582
   1.90472     -9.803275  0.548  0.006  0.012  0.016  0.002  0.000  0.000  0.000  0.000  0.582
   1.91508     -9.802139  0.548  0.006  0.012  0.016  0.002  0.000  0.000  0.000  0.000  0.582
   1.92544     -9.800248  0.548  0.006  0.012  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   1.93579     -9.797600  0.548  0.006  0.011  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   1.94615     -9.794197  0.548  0.006  0.011  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   1.95651     -9.790038  0.548  0.006  0.011  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   1.96687     -9.785124  0.549  0.006  0.011  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   1.97723     -9.779457  0.549  0.006  0.011  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   1.98758     -9.773037  0.549  0.006  0.011  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   1.99794     -9.765864  0.549  0.006  0.011  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   2.00830     -9.757941  0.549  0.006  0.010  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   2.01866     -9.749267  0.549  0.006  0.010  0.016  0.002  0.000  0.000  0.000  0.000  0.583
   2.02902     -9.739846  0.549  0.006  0.010  0.016  0.000  0.000  0.000  0.000  0.000  0.584
   2.03937     -9.729678  0.549  0.006  0.010  0.016  0.000  0.000  0.000  0.000  0.000  0.585
   2.04973     -9.718764  0.549  0.006  0.010  0.016  0.000  0.000  0.000  0.000  0.000  0.585
   2.06009     -9.707108  0.549  0.006  0.010  0.016  0.000  0.000  0.000  0.000  0.000  0.585
   2.07045     -9.694709  0.549  0.007  0.010  0.016  0.000  0.000  0.000  0.000  0.000  0.585
   2.08081     -9.681572  0.550  0.008  0.010  0.016  0.000  0.000  0.000  0.000  0.000  0.585
   2.09116     -9.667697  0.550  0.008  0.010  0.016  0.000  0.000  0.000  0.000  0.000  0.586
