#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000    -8.941  0.140  0.004  0.002  0.004  0.000  0.000  0.000  0.000  0.000  0.152
   0.021    -8.992  0.361  0.011  0.004  0.010  0.000  0.000  0.000  0.000  0.000  0.388
   0.041    -9.064  0.368  0.011  0.004  0.010  0.000  0.000  0.000  0.000  0.000  0.396
   0.062    -9.139  0.369  0.012  0.004  0.010  0.000  0.000  0.000  0.000  0.000  0.396
   0.083    -9.217  0.369  0.012  0.005  0.009  0.000  0.000  0.000  0.000  0.000  0.396
   0.104    -9.296  0.368  0.012  0.005  0.008  0.000  0.000  0.000  0.000  0.000  0.396
   0.124    -9.377  0.367  0.012  0.005  0.008  0.000  0.000  0.000  0.000  0.000  0.395
   0.145    -9.460  0.367  0.012  0.006  0.008  0.000  0.000  0.000  0.000  0.000  0.394
   0.166    -9.543  0.366  0.012  0.006  0.008  0.000  0.000  0.000  0.000  0.000  0.393
   0.186    -9.627  0.365  0.012  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.392
   0.207    -9.712  0.365  0.012  0.007  0.006  0.000  0.000  0.000  0.000  0.000  0.391
   0.228    -9.796  0.363  0.012  0.007  0.006  0.000  0.000  0.000  0.000  0.000  0.390
   0.249    -9.881  0.363  0.011  0.007  0.006  0.000  0.000  0.000  0.000  0.000  0.389
   0.269    -9.965  0.361  0.011  0.007  0.006  0.000  0.000  0.000  0.000  0.000  0.387
   0.290   -10.049  0.361  0.011  0.008  0.006  0.000  0.000  0.000  0.000  0.000  0.386
   0.311   -10.131  0.360  0.011  0.008  0.005  0.000  0.000  0.000  0.000  0.000  0.385
   0.331   -10.213  0.359  0.011  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.383
   0.352   -10.294  0.358  0.010  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.383
   0.373   -10.373  0.357  0.010  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.381
   0.394   -10.451  0.356  0.009  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.379
   0.414   -10.527  0.356  0.009  0.009  0.004  0.000  0.000  0.000  0.000  0.000  0.379
   0.435   -10.602  0.354  0.009  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.377
   0.456   -10.675  0.354  0.008  0.010  0.004  0.000  0.000  0.000  0.000  0.000  0.377
   0.476   -10.745  0.354  0.007  0.010  0.003  0.000  0.000  0.000  0.000  0.000  0.375
   0.497   -10.814  0.354  0.007  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.374
   0.518   -10.880  0.352  0.007  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.373
   0.539   -10.945  0.352  0.006  0.011  0.002  0.000  0.000  0.000  0.000  0.000  0.372
   0.559   -11.007  0.352  0.006  0.011  0.002  0.000  0.000  0.000  0.000  0.000  0.371
   0.580   -11.066  0.352  0.005  0.011  0.002  0.000  0.000  0.000  0.000  0.000  0.370
   0.601   -11.123  0.351  0.005  0.011  0.002  0.000  0.000  0.000  0.000  0.000  0.369
   0.621   -11.178  0.351  0.004  0.011  0.002  0.000  0.000  0.000  0.000  0.000  0.369
   0.642   -11.230  0.351  0.004  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.368
   0.663   -11.280  0.351  0.004  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.367
   0.684   -11.327  0.350  0.003  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.366
   0.704   -11.371  0.349  0.003  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.366
   0.725   -11.412  0.349  0.002  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.365
   0.746   -11.451  0.349  0.002  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.365
   0.766   -11.487  0.349  0.002  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.364
   0.787   -11.520  0.349  0.002  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.364
   0.808   -11.551  0.349  0.002  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.364
   0.829   -11.578  0.349  0.001  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.363
   0.849   -11.603  0.349  0.001  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.363
   0.870   -11.625  0.349  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   0.891   -11.644  0.349  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   0.912   -11.660  0.349  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   0.932   -11.673  0.349  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   0.953   -11.683  0.349  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   0.974   -11.691  0.349  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   0.994   -11.695  0.348  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.015   -11.697  0.348  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.015   -11.697  0.348  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.033   -11.696  0.348  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.051   -11.692  0.348  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.069   -11.687  0.350  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.087   -11.679  0.350  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.105   -11.669  0.350  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.123   -11.657  0.350  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.362
   1.141   -11.643  0.350  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.363
   1.159   -11.627  0.350  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.364
   1.177   -11.608  0.350  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.364
   1.195   -11.587  0.351  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.364
   1.212   -11.564  0.351  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.365
   1.230   -11.539  0.351  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.366
   1.248   -11.512  0.352  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.366
   1.266   -11.483  0.352  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.367
   1.284   -11.452  0.353  0.000  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.368
   1.302   -11.419  0.353  0.001  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.368
   1.320   -11.383  0.353  0.001  0.012  0.002  0.000  0.000  0.000  0.000  0.000  0.370
   1.338   -11.346  0.354  0.001  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.370
   1.356   -11.306  0.355  0.001  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.372
   1.374   -11.265  0.355  0.001  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.372
   1.392   -11.222  0.356  0.002  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.374
   1.410   -11.176  0.357  0.002  0.012  0.004  0.000  0.000  0.000  0.000  0.000  0.375
   1.428   -11.129  0.357  0.002  0.012  0.006  0.000  0.000  0.000  0.000  0.000  0.376
   1.446   -11.081  0.359  0.002  0.011  0.006  0.000  0.000  0.000  0.000  0.000  0.378
   1.464   -11.030  0.359  0.002  0.011  0.006  0.000  0.000  0.000  0.000  0.000  0.379
   1.482   -10.978  0.361  0.002  0.011  0.006  0.000  0.000  0.000  0.000  0.000  0.380
   1.500   -10.924  0.361  0.002  0.011  0.006  0.000  0.000  0.000  0.000  0.000  0.382
   1.518   -10.868  0.363  0.002  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.384
   1.535   -10.811  0.365  0.002  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.386
   1.553   -10.753  0.365  0.002  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.387
   1.571   -10.694  0.367  0.003  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.389
   1.589   -10.633  0.369  0.003  0.010  0.008  0.000  0.000  0.000  0.000  0.000  0.391
   1.607   -10.572  0.371  0.003  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.393
   1.625   -10.509  0.372  0.003  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.395
   1.643   -10.447  0.374  0.003  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.398
   1.661   -10.383  0.376  0.003  0.010  0.010  0.000  0.000  0.000  0.000  0.000  0.400
   1.679   -10.320  0.378  0.003  0.009  0.010  0.000  0.000  0.000  0.000  0.000  0.403
   1.697   -10.258  0.381  0.004  0.009  0.012  0.000  0.000  0.000  0.000  0.000  0.405
