#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000    -8.941  0.024  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.026
   0.021    -8.992  0.266  0.008  0.003  0.008  0.000  0.000  0.000  0.000  0.000  0.286
   0.041    -9.064  0.276  0.008  0.004  0.007  0.000  0.000  0.000  0.000  0.000  0.297
   0.062    -9.139  0.275  0.009  0.004  0.007  0.000  0.000  0.000  0.000  0.000  0.296
   0.083    -9.217  0.272  0.009  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.293
   0.104    -9.296  0.268  0.009  0.004  0.006  0.000  0.000  0.000  0.000  0.000  0.289
   0.124    -9.377  0.264  0.009  0.004  0.005  0.000  0.000  0.000  0.000  0.000  0.283
   0.145    -9.460  0.260  0.008  0.004  0.005  0.000  0.000  0.000  0.000  0.000  0.279
   0.166    -9.543  0.256  0.008  0.004  0.005  0.000  0.000  0.000  0.000  0.000  0.275
   0.186    -9.627  0.252  0.008  0.004  0.004  0.000  0.000  0.000  0.000  0.000  0.271
   0.207    -9.712  0.248  0.008  0.005  0.004  0.000  0.000  0.000  0.000  0.000  0.266
   0.228    -9.796  0.244  0.008  0.005  0.004  0.000  0.000  0.000  0.000  0.000  0.261
   0.249    -9.881  0.240  0.008  0.005  0.003  0.000  0.000  0.000  0.000  0.000  0.257
   0.269    -9.965  0.237  0.008  0.005  0.003  0.000  0.000  0.000  0.000  0.000  0.253
   0.290   -10.049  0.233  0.008  0.005  0.003  0.000  0.000  0.000  0.000  0.000  0.250
   0.311   -10.131  0.230  0.008  0.006  0.003  0.000  0.000  0.000  0.000  0.000  0.246
   0.331   -10.213  0.227  0.007  0.006  0.003  0.000  0.000  0.000  0.000  0.000  0.243
   0.352   -10.294  0.224  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.239
   0.373   -10.373  0.221  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.236
   0.394   -10.451  0.219  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.233
   0.414   -10.527  0.217  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.231
   0.435   -10.602  0.215  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.228
   0.456   -10.675  0.213  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.225
   0.476   -10.745  0.211  0.004  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.223
   0.497   -10.814  0.209  0.004  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.221
   0.518   -10.880  0.207  0.004  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.219
   0.539   -10.945  0.205  0.004  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.217
