#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000    -8.941  0.446  0.014  0.005  0.014  0.001  0.001  0.000  0.001  0.001  0.481
   0.021    -8.992  0.315  0.010  0.004  0.009  0.000  0.000  0.000  0.000  0.000  0.339
   0.041    -9.064  0.309  0.010  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.332
   0.062    -9.139  0.308  0.010  0.004  0.008  0.000  0.000  0.000  0.000  0.000  0.331
   0.083    -9.217  0.307  0.010  0.004  0.007  0.000  0.000  0.000  0.000  0.000  0.331
   0.104    -9.296  0.308  0.010  0.004  0.007  0.000  0.000  0.000  0.000  0.000  0.331
   0.124    -9.377  0.308  0.011  0.005  0.007  0.000  0.000  0.000  0.000  0.000  0.331
   0.145    -9.460  0.308  0.011  0.005  0.005  0.000  0.000  0.000  0.000  0.000  0.331
   0.166    -9.543  0.308  0.011  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.331
   0.186    -9.627  0.308  0.011  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.331
   0.207    -9.712  0.309  0.011  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.331
   0.228    -9.796  0.308  0.011  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.331
   0.249    -9.881  0.309  0.010  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.331
   0.269    -9.965  0.309  0.010  0.006  0.004  0.000  0.000  0.000  0.000  0.000  0.331
   0.290   -10.049  0.308  0.010  0.007  0.004  0.000  0.000  0.000  0.000  0.000  0.331
   0.311   -10.131  0.309  0.009  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.331
   0.331   -10.213  0.309  0.009  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.330
   0.352   -10.294  0.309  0.009  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.330
   0.373   -10.373  0.310  0.008  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.330
   0.394   -10.451  0.310  0.008  0.008  0.003  0.000  0.000  0.000  0.000  0.000  0.330
   0.414   -10.527  0.310  0.008  0.008  0.003  0.000  0.000  0.000  0.000  0.000  0.329
   0.435   -10.602  0.310  0.008  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.329
   0.456   -10.675  0.311  0.007  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.329
   0.476   -10.745  0.311  0.007  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.329
   0.497   -10.814  0.311  0.006  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.329
   0.518   -10.880  0.311  0.006  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.329
   0.539   -10.945  0.311  0.006  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.329
   0.559   -11.007  0.311  0.006  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.328
   0.580   -11.066  0.312  0.004  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.328
   0.601   -11.123  0.312  0.004  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.328
   0.621   -11.178  0.312  0.004  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.328
   0.642   -11.230  0.312  0.004  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.328
   0.663   -11.280  0.312  0.004  0.010  0.002  0.000  0.000  0.000  0.000  0.000  0.328
   0.684   -11.327  0.312  0.003  0.010  0.001  0.000  0.000  0.000  0.000  0.000  0.328
   0.704   -11.371  0.314  0.002  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.328
   0.725   -11.412  0.314  0.002  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.328
   0.746   -11.451  0.314  0.002  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.328
   0.766   -11.487  0.314  0.002  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.327
   0.787   -11.520  0.314  0.002  0.010  0.000  0.000  0.000  0.000  0.000  0.000  0.326
   0.808   -11.551  0.314  0.002  0.011  0.000  0.000  0.000  0.000  0.000  0.000  0.326
   0.829   -11.578  0.314  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.326
   0.849   -11.603  0.314  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.326
   0.870   -11.625  0.314  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.326
   0.891   -11.644  0.314  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.326
   0.912   -11.660  0.314  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.326
   0.932   -11.673  0.314  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.326
   0.953   -11.683  0.314  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.000  0.326
