#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 200  22
# Band-Index:    1
   0.00000    -10.538110  0.839  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.842
   0.01984    -10.540187  0.838  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.841
   0.03969    -10.546593  0.835  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.838
   0.05953    -10.557563  0.829  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.833
   0.07938    -10.573225  0.822  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.826
   0.09922    -10.593593  0.812  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.817
   0.11906    -10.618570  0.801  0.001  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.807
   0.13891    -10.647961  0.789  0.002  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.795
   0.15875    -10.681494  0.775  0.002  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.782
   0.17860    -10.718835  0.761  0.003  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.769
   0.19844    -10.759609  0.747  0.003  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.756
   0.21829    -10.803415  0.732  0.004  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.742
   0.23813    -10.849842  0.718  0.004  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.729
   0.25797    -10.898477  0.704  0.004  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.716
   0.27782    -10.948909  0.691  0.005  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.704
   0.29766    -11.000742  0.679  0.005  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.692
   0.31751    -11.053608  0.668  0.005  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.681
   0.33735    -11.107167  0.657  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.671
   0.35719    -11.161107  0.647  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.662
   0.37704    -11.215149  0.638  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.653
   0.39688    -11.269035  0.629  0.006  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.644
   0.41673    -11.322537  0.621  0.006  0.007  0.002  0.000  0.000  0.000  0.000  0.000  0.637
   0.43657    -11.375449  0.614  0.006  0.007  0.002  0.000  0.000  0.000  0.000  0.000  0.630
   0.45642    -11.427581  0.608  0.006  0.007  0.002  0.000  0.000  0.000  0.000  0.000  0.623
   0.47626    -11.478763  0.602  0.005  0.007  0.002  0.000  0.000  0.000  0.000  0.000  0.617
   0.49610    -11.528842  0.596  0.005  0.007  0.002  0.000  0.000  0.000  0.000  0.000  0.611
   0.51595    -11.577675  0.591  0.005  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.606
   0.53579    -11.625134  0.587  0.005  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.601
   0.55564    -11.671104  0.582  0.005  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.597
   0.57548    -11.715479  0.578  0.004  0.008  0.002  0.000  0.000  0.000  0.000  0.000  0.593
   0.59532    -11.758166  0.575  0.004  0.008  0.001  0.000  0.000  0.000  0.000  0.000  0.589
   0.61517    -11.799080  0.572  0.004  0.008  0.001  0.000  0.000  0.000  0.000  0.000  0.585
   0.63501    -11.838144  0.569  0.003  0.008  0.001  0.000  0.000  0.000  0.000  0.000  0.582
   0.65486    -11.875285  0.566  0.003  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.579
   0.67470    -11.910438  0.564  0.003  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.577
   0.69455    -11.943544  0.562  0.003  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.574
   0.71439    -11.974551  0.560  0.002  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.572
   0.73423    -12.003413  0.558  0.002  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.570
   0.75408    -12.030087  0.557  0.002  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.568
   0.77392    -12.054536  0.555  0.001  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.566
   0.79377    -12.076726  0.554  0.001  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.565
   0.81361    -12.096627  0.553  0.001  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.564
   0.83345    -12.114217  0.552  0.001  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.563
   0.85330    -12.129472  0.551  0.001  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.562
   0.87314    -12.142373  0.551  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.561
   0.89299    -12.152904  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   0.91283    -12.161053  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   0.93268    -12.166810  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   0.95252    -12.170168  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   0.97236    -12.171129  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   0.97236    -12.171129  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   0.98955    -12.170437  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   1.00673    -12.167946  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   1.02391    -12.163657  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   1.04109    -12.157571  0.550  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.560
   1.05827    -12.149695  0.551  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.561
   1.07545    -12.140034  0.551  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.000  0.561
   1.09263    -12.128599  0.552  0.000  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.562
   1.10981    -12.115400  0.552  0.000  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.563
   1.12699    -12.100449  0.553  0.000  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.564
   1.14418    -12.083762  0.554  0.000  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.565
   1.16136    -12.065354  0.555  0.000  0.009  0.001  0.000  0.000  0.000  0.000  0.000  0.566
   1.17854    -12.045243  0.556  0.001  0.009  0.002  0.000  0.000  0.000  0.000  0.000  0.567
   1.19572    -12.023450  0.557  0.001  0.009  0.002  0.000  0.000  0.000  0.000  0.000  0.569
   1.21290    -11.999999  0.558  0.001  0.009  0.002  0.000  0.000  0.000  0.000  0.000  0.570
   1.23008    -11.974917  0.560  0.001  0.009  0.002  0.000  0.000  0.000  0.000  0.000  0.572
   1.24726    -11.948235  0.561  0.001  0.009  0.002  0.000  0.000  0.000  0.000  0.000  0.574
   1.26444    -11.919984  0.563  0.001  0.009  0.003  0.000  0.000  0.000  0.000  0.000  0.576
   1.28163    -11.890199  0.565  0.001  0.009  0.003  0.000  0.000  0.000  0.000  0.000  0.578
   1.29881    -11.858923  0.567  0.001  0.008  0.003  0.000  0.000  0.000  0.000  0.000  0.581
   1.31599    -11.826203  0.570  0.001  0.008  0.003  0.000  0.000  0.000  0.000  0.000  0.583
   1.33317    -11.792088  0.572  0.001  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.586
   1.35035    -11.756635  0.575  0.001  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.589
   1.36753    -11.719905  0.578  0.001  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.592
   1.38471    -11.681965  0.582  0.002  0.008  0.004  0.000  0.000  0.000  0.000  0.000  0.596
   1.40189    -11.642890  0.585  0.002  0.008  0.005  0.000  0.000  0.000  0.000  0.000  0.600
   1.41907    -11.602764  0.589  0.002  0.008  0.005  0.000  0.000  0.000  0.000  0.000  0.604
   1.43626    -11.561682  0.593  0.002  0.007  0.005  0.000  0.000  0.000  0.000  0.000  0.608
   1.45344    -11.519748  0.598  0.002  0.007  0.005  0.000  0.000  0.000  0.000  0.000  0.613
   1.47062    -11.477082  0.603  0.002  0.007  0.005  0.000  0.000  0.000  0.000  0.000  0.618
   1.48780    -11.433816  0.608  0.002  0.007  0.005  0.000  0.000  0.000  0.000  0.000  0.623
   1.50498    -11.390093  0.613  0.002  0.007  0.006  0.000  0.000  0.000  0.000  0.000  0.628
   1.52216    -11.346078  0.619  0.002  0.007  0.006  0.000  0.000  0.000  0.000  0.000  0.634
   1.53934    -11.301953  0.626  0.002  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.641
   1.55652    -11.257923  0.633  0.002  0.006  0.006  0.000  0.000  0.000  0.000  0.000  0.647
   1.57371    -11.214212  0.640  0.002  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.654
   1.59089    -11.171077  0.647  0.002  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.661
   1.60807    -11.128799  0.655  0.002  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.669
   1.62525    -11.087691  0.664  0.002  0.006  0.005  0.000  0.000  0.000  0.000  0.000  0.677
   1.64243    -11.048094  0.672  0.002  0.005  0.005  0.000  0.000  0.000  0.000  0.000  0.685
   1.65961    -11.010379  0.681  0.002  0.005  0.004  0.000  0.000  0.000  0.000  0.000  0.693
   1.67679    -10.974944  0.689  0.001  0.005  0.004  0.000  0.000  0.000  0.000  0.000  0.701
   1.69397    -10.942209  0.698  0.001  0.005  0.004  0.000  0.000  0.000  0.000  0.000  0.709
   1.71116    -10.912607  0.706  0.001  0.005  0.003  0.000  0.000  0.000  0.000  0.000  0.716
   1.72834    -10.886577  0.714  0.001  0.005  0.003  0.000  0.000  0.000  0.000  0.000  0.723
   1.74552    -10.864538  0.720  0.001  0.005  0.003  0.001  0.000  0.000  0.000  0.000  0.730
   1.76270    -10.846875  0.726  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.735
   1.77988    -10.833920  0.730  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.739
   1.79706    -10.825933  0.733  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.741
   1.81424    -10.823074  0.734  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.742
   1.81424    -10.823074  0.734  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.742
   1.82416    -10.822952  0.734  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.742
   1.83409    -10.822396  0.735  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.742
   1.84401    -10.821400  0.735  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.743
   1.85393    -10.819965  0.735  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.743
   1.86385    -10.818094  0.736  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.744
   1.87377    -10.815792  0.737  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.744
   1.88370    -10.813061  0.737  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.745
   1.89362    -10.809907  0.738  0.001  0.004  0.002  0.001  0.000  0.000  0.000  0.000  0.746
   1.90354    -10.806336  0.739  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.747
   1.91346    -10.802354  0.740  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.748
   1.92339    -10.797970  0.742  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.749
   1.93331    -10.793192  0.743  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.751
   1.94323    -10.788029  0.745  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.752
   1.95315    -10.782491  0.746  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.754
   1.96307    -10.776590  0.748  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.755
   1.97300    -10.770338  0.750  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.757
   1.98292    -10.763748  0.752  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.759
   1.99284    -10.756835  0.754  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.761
   2.00276    -10.749616  0.756  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.763
   2.01268    -10.742106  0.759  0.001  0.004  0.002  0.000  0.000  0.000  0.000  0.000  0.766
   2.02261    -10.734325  0.761  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.768
   2.03253    -10.726292  0.764  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.771
   2.04245    -10.718029  0.766  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.773
   2.05237    -10.709560  0.769  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.776
   2.06229    -10.700909  0.772  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.779
   2.07222    -10.692103  0.775  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.782
   2.08214    -10.683170  0.778  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.785
   2.09206    -10.674140  0.782  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.788
   2.10198    -10.665046  0.785  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.791
   2.11190    -10.655922  0.788  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.794
   2.12183    -10.646804  0.792  0.001  0.004  0.001  0.000  0.000  0.000  0.000  0.000  0.797
