#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -10.538  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.020   -10.540 -0.013  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.013
   0.040   -10.547 -0.028  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.028
   0.060   -10.558 -0.046  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.046
   0.079   -10.573 -0.067  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.068
   0.099   -10.594 -0.094  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.094
   0.119   -10.619 -0.126  0.000 -0.001  0.000  0.000  0.000  0.000  0.000  0.000 -0.127
   0.139   -10.648 -0.166 -0.001 -0.001  0.000  0.000  0.000  0.000  0.000  0.000 -0.167
   0.159   -10.681 -0.214 -0.001 -0.001  0.000  0.000  0.000  0.000  0.000  0.000 -0.216
   0.179   -10.719 -0.270 -0.001 -0.002  0.000  0.000  0.000  0.000  0.000  0.000 -0.274
   0.198   -10.760 -0.333 -0.002 -0.002 -0.001  0.000  0.000  0.000  0.000  0.000 -0.338
   0.218   -10.803 -0.398 -0.002 -0.002 -0.001  0.000  0.000  0.000  0.000  0.000 -0.404
   0.238   -10.850 -0.457 -0.003 -0.003 -0.001  0.000  0.000  0.000  0.000  0.000 -0.464
   0.258   -10.898 -0.504 -0.003 -0.003 -0.001  0.000  0.000  0.000  0.000  0.000 -0.513
   0.278   -10.949 -0.536 -0.004 -0.004 -0.001  0.000  0.000  0.000  0.000  0.000 -0.545
   0.298   -11.001 -0.553 -0.004 -0.004 -0.001  0.000  0.000  0.000  0.000  0.000 -0.564
   0.318   -11.054 -0.560 -0.005 -0.005 -0.002  0.000  0.000  0.000  0.000  0.000 -0.572
   0.337   -11.107 -0.560 -0.005 -0.005 -0.002  0.000  0.000  0.000  0.000  0.000 -0.572
   0.357   -11.161 -0.557 -0.005 -0.005 -0.002  0.000  0.000  0.000  0.000  0.000 -0.569
   0.377   -11.215 -0.551 -0.005 -0.005 -0.002  0.000  0.000  0.000  0.000  0.000 -0.564
   0.397   -11.269 -0.545 -0.005 -0.005 -0.002  0.000  0.000  0.000  0.000  0.000 -0.558
   0.417   -11.323 -0.538 -0.005 -0.006 -0.002  0.000  0.000  0.000  0.000  0.000 -0.551
   0.437   -11.375 -0.532 -0.005 -0.006 -0.002  0.000  0.000  0.000  0.000  0.000 -0.545
   0.456   -11.428 -0.526 -0.005 -0.006 -0.001  0.000  0.000  0.000  0.000  0.000 -0.539
   0.476   -11.479 -0.521 -0.005 -0.006 -0.001  0.000  0.000  0.000  0.000  0.000 -0.534
   0.496   -11.529 -0.516 -0.005 -0.006 -0.001  0.000  0.000  0.000  0.000  0.000 -0.529
   0.516   -11.578 -0.511 -0.005 -0.006 -0.001  0.000  0.000  0.000  0.000  0.000 -0.524
   0.536   -11.625 -0.507 -0.004 -0.007 -0.001  0.000  0.000  0.000  0.000  0.000 -0.520
   0.556   -11.671 -0.504 -0.004 -0.007 -0.001  0.000  0.000  0.000  0.000  0.000 -0.516
   0.575   -11.715 -0.500 -0.004 -0.007 -0.001  0.000  0.000  0.000  0.000  0.000 -0.513
   0.595   -11.758 -0.497 -0.004 -0.007 -0.001  0.000  0.000  0.000  0.000  0.000 -0.509
   0.615   -11.799 -0.495 -0.003 -0.007 -0.001  0.000  0.000  0.000  0.000  0.000 -0.506
   0.635   -11.838 -0.492 -0.003 -0.007 -0.001  0.000  0.000  0.000  0.000  0.000 -0.504
   0.655   -11.875 -0.490 -0.003 -0.007 -0.001  0.000  0.000  0.000  0.000  0.000 -0.501
   0.675   -11.910 -0.488 -0.003 -0.007 -0.001  0.000  0.000  0.000  0.000  0.000 -0.499
   0.695   -11.944 -0.486 -0.002 -0.008 -0.001  0.000  0.000  0.000  0.000  0.000 -0.497
   0.714   -11.975 -0.485 -0.002 -0.008  0.000  0.000  0.000  0.000  0.000  0.000 -0.495
   0.734   -12.003 -0.483 -0.002 -0.008  0.000  0.000  0.000  0.000  0.000  0.000 -0.493
   0.754   -12.030 -0.482 -0.002 -0.008  0.000  0.000  0.000  0.000  0.000  0.000 -0.492
   0.774   -12.055 -0.481 -0.001 -0.008  0.000  0.000  0.000  0.000  0.000  0.000 -0.490
   0.794   -12.077 -0.480 -0.001 -0.008  0.000  0.000  0.000  0.000  0.000  0.000 -0.489
   0.814   -12.097 -0.479 -0.001 -0.008  0.000  0.000  0.000  0.000  0.000  0.000 -0.488
   0.833   -12.114 -0.478 -0.001 -0.008  0.000  0.000  0.000  0.000  0.000  0.000 -0.487
