#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -10.538  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.020   -10.540  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
   0.040   -10.547  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.060   -10.558  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.001
   0.079   -10.573  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.002
   0.099   -10.594  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.003
   0.119   -10.619  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.004
   0.139   -10.648  0.004  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.006
   0.159   -10.681  0.007  0.001  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.009
   0.179   -10.719  0.010  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.013
   0.198   -10.760  0.015  0.002  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.018
   0.218   -10.803  0.020  0.002  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.025
   0.238   -10.850  0.026  0.003  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.032
   0.258   -10.898  0.032  0.003  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.038
   0.278   -10.949  0.038  0.003  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.044
   0.298   -11.001  0.043  0.003  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.049
   0.318   -11.054  0.047  0.003  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.054
   0.337   -11.107  0.051  0.003  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.057
   0.357   -11.161  0.054  0.003  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.060
   0.377   -11.215  0.056  0.003  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.063
   0.397   -11.269  0.059  0.003  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.065
   0.417   -11.323  0.061  0.002  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.067
   0.437   -11.375  0.063  0.002  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.068
   0.456   -11.428  0.064  0.002  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.070
   0.476   -11.479  0.066  0.002  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.071
   0.496   -11.529  0.067  0.002  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.073
   0.516   -11.578  0.068  0.002  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.074
   0.536   -11.625  0.070  0.002  0.003  0.001  0.000  0.000  0.000  0.000  0.000  0.075
   0.556   -11.671  0.071  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.076
   0.575   -11.715  0.072  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.077
   0.595   -11.758  0.073  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.077
   0.615   -11.799  0.074  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.078
   0.635   -11.838  0.074  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.655   -11.875  0.075  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   0.675   -11.910  0.076  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   0.695   -11.944  0.076  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.081
   0.714   -11.975  0.077  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.081
   0.734   -12.003  0.077  0.001  0.003  0.000  0.000  0.000  0.000  0.000  0.000  0.081
   0.754   -12.030  0.078  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.774   -12.055  0.078  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.794   -12.077  0.078  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   0.814   -12.097  0.079  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.833   -12.114  0.079  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.853   -12.129  0.079  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.873   -12.142  0.079  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.893   -12.153  0.080  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.913   -12.161  0.080  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.933   -12.167  0.080  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.953   -12.170  0.080  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.972   -12.171  0.045  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   0.972   -12.171  0.045  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.047
   0.990   -12.170  0.138  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.000  0.145
   1.007   -12.168  0.138  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.145
   1.024   -12.164  0.138  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.144
   1.041   -12.158  0.138  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.144
   1.058   -12.150  0.137  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.144
   1.075   -12.140  0.137  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.144
   1.093   -12.129  0.137  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.144
   1.110   -12.115  0.137  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.143
   1.127   -12.100  0.136  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.143
   1.144   -12.084  0.136  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.143
   1.161   -12.065  0.135  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.000  0.142
   1.179   -12.045  0.135  0.000  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.142
   1.196   -12.023  0.134  0.000  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.141
   1.213   -12.000  0.134  0.000  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.141
   1.230   -11.975  0.133  0.000  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.140
   1.247   -11.948  0.132  0.000  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.140
   1.264   -11.920  0.131  0.000  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.139
   1.282   -11.890  0.130  0.000  0.006  0.001  0.000  0.000  0.000  0.000  0.000  0.138
   1.299   -11.859  0.129  0.001  0.006  0.002  0.000  0.000  0.000  0.000  0.000  0.137
   1.316   -11.826  0.128  0.001  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.136
   1.333   -11.792  0.127  0.001  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.135
   1.350   -11.757  0.126  0.001  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.134
   1.368   -11.720  0.125  0.001  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.133
   1.385   -11.682  0.123  0.001  0.005  0.002  0.000  0.000  0.000  0.000  0.000  0.132
   1.402   -11.643  0.121  0.001  0.005  0.003  0.000  0.000  0.000  0.000  0.000  0.130
