#K-Path     Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# Band-Index:    1
   0.000   -10.538  0.000 -0.008  0.000 -0.008  0.000 -0.001  0.000 -0.001  0.000 -0.018
   0.020   -10.540 -0.001 -0.008  0.000 -0.008  0.000 -0.001  0.000 -0.001  0.000 -0.018
   0.040   -10.547 -0.003 -0.008  0.000 -0.008  0.000 -0.001  0.000 -0.001  0.000 -0.020
   0.060   -10.558 -0.006 -0.008  0.000 -0.007  0.000 -0.001  0.000 -0.001  0.000 -0.023
   0.079   -10.573 -0.010 -0.008  0.000 -0.007  0.000 -0.001  0.000  0.000  0.000 -0.027
   0.099   -10.594 -0.015 -0.008  0.000 -0.007  0.000 -0.001  0.000  0.000  0.000 -0.033
   0.119   -10.619 -0.022 -0.008 -0.001 -0.006  0.000 -0.001  0.000  0.000  0.000 -0.038
   0.139   -10.648 -0.028 -0.008 -0.001 -0.006  0.000 -0.001  0.000  0.000  0.000 -0.045
   0.159   -10.681 -0.035 -0.008 -0.001 -0.005  0.000 -0.001  0.000  0.000  0.000 -0.050
   0.179   -10.719 -0.040 -0.007 -0.001 -0.005  0.000 -0.001  0.000  0.000  0.000 -0.055
   0.198   -10.760 -0.045 -0.007 -0.001 -0.004  0.000  0.000  0.000  0.000  0.000 -0.058
   0.218   -10.803 -0.046 -0.006 -0.002 -0.004  0.000  0.000  0.000  0.000  0.000 -0.059
   0.238   -10.850 -0.045 -0.005 -0.002 -0.003  0.000  0.000  0.000  0.000  0.000 -0.056
   0.258   -10.898 -0.041 -0.004 -0.001 -0.002  0.000  0.000  0.000  0.000  0.000 -0.050
   0.278   -10.949 -0.036 -0.003 -0.001 -0.002  0.000  0.000  0.000  0.000  0.000 -0.042
   0.298   -11.001 -0.029 -0.002 -0.001 -0.001  0.000  0.000  0.000  0.000  0.000 -0.034
   0.318   -11.054 -0.022 -0.002 -0.001 -0.001  0.000  0.000  0.000  0.000  0.000 -0.026
   0.337   -11.107 -0.016 -0.001 -0.001 -0.001  0.000  0.000  0.000  0.000  0.000 -0.018
   0.357   -11.161 -0.011 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.012
   0.377   -11.215 -0.006 -0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000 -0.007
